,Collocations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
101,из мухи делать слона,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
102,из огня да в полымя,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
103,из пальца высосать,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
104,из рук вон плохо,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0
105,исчадие ада,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
106,к черту на кулички,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
107,как будто бы (составные служебные слова),0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
108,как бы не так,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
109,как изволите знать,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0
110,как ни в чем не бывало,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1
111,как пить дать,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
112,как я вижу/погляжу,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0
113,карета скорой помощи,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1
114,категорически отказаться,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
115,комар залягай,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0
116,кормить завтраками,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
117,краеугольный камень,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1
118,Красная армия,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
119,Красное село,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
120,кровь с молоком,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
121,куда ни шло,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
122,кузькина мать,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0
123,куры не клюют,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
124,мало ли какой,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
125,между тем как,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1
126,мелко плавать,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
127,мертвецки пьян,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
128,может статься,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1
129,мозолить глаза,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
130,на большой палец,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
131,на босу ногу,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1
